"rep","design","temperature","LLM.model","trait","EGA.model","initial_NMI","final_NMI","start_N","final_N","UVA_removed","UVA_sweeps","boot_removed","boot_sweeps","embed_used"
1,"basic",0.5,"gpt-4o","agreeableness","glasso",0.702265536625132,0.753102833868731,62,22,34,5,6,3,"sparse"
1,"basic",0.5,"gpt-4o","agreeableness","tmfg",0.842863191773034,0.91064735298438,62,16,34,5,12,2,"full"
1,"basic",0.5,"gpt-4o","conscientiousness","glasso",0.674965114503808,0.741679630983032,61,17,41,6,3,3,"full"
1,"basic",0.5,"gpt-4o","conscientiousness","tmfg",0.707032936835116,0.585645106509765,61,8,41,6,12,2,"sparse"
1,"basic",0.5,"gpt-4o","extraversion","glasso",0.866602355133086,0.786152176492844,63,23,38,5,2,2,"full"
1,"basic",0.5,"gpt-4o","extraversion","tmfg",1,0.935373060043033,63,15,38,5,10,3,"full"
1,"basic",0.5,"gpt-4o","neuroticism","glasso",0.852031464192648,0.84321573955342,66,26,34,4,6,2,"full"
1,"basic",0.5,"gpt-4o","neuroticism","tmfg",0.824799888666817,1,66,28,34,4,4,2,"full"
1,"basic",0.5,"gpt-4o","openness","glasso",0.808670707152778,0.906730444550343,63,25,38,6,0,1,"full"
1,"basic",0.5,"gpt-4o","openness","tmfg",0.801903993586554,1,63,17,38,6,8,4,"full"
1,"basic",0.5,"gpt-5.1","agreeableness","glasso",0.721307054751874,0.908912037723161,62,21,41,5,0,1,"full"
1,"basic",0.5,"gpt-5.1","agreeableness","tmfg",0.92957838961685,0.908912037723161,62,21,41,5,0,1,"full"
1,"basic",0.5,"gpt-5.1","conscientiousness","glasso",0.798665465591513,0.808982611247236,61,15,42,6,4,2,"sparse"
1,"basic",0.5,"gpt-5.1","conscientiousness","tmfg",0.72227766049919,0.813289833503676,61,12,42,6,7,2,"sparse"
1,"basic",0.5,"gpt-5.1","extraversion","glasso",0.707105673125028,0.908113958141814,60,19,37,6,4,2,"full"
1,"basic",0.5,"gpt-5.1","extraversion","tmfg",0.861075206068688,0.858324937374993,60,11,37,6,12,2,"sparse"
1,"basic",0.5,"gpt-5.1","neuroticism","glasso",0.779469907064756,0.870222130748444,61,20,38,4,3,2,"full"
1,"basic",0.5,"gpt-5.1","neuroticism","tmfg",0.825102427838611,0.895251707877013,61,21,38,4,2,2,"sparse"
1,"basic",0.5,"gpt-5.1","openness","glasso",0.805667778014482,0.859329436796055,64,13,48,5,3,2,"full"
1,"basic",0.5,"gpt-5.1","openness","tmfg",0.834789909858619,0,64,7,48,5,9,2,"full"
1,"basic",0.5,"gpt-oss-120b","agreeableness","glasso",0.79525243307963,0.83798525959539,61,27,34,4,0,1,"full"
1,"basic",0.5,"gpt-oss-120b","agreeableness","tmfg",0.828752683727219,1,61,21,34,4,6,3,"full"
1,"basic",0.5,"gpt-oss-120b","conscientiousness","glasso",0.755237610665341,0.887987084752589,61,35,25,5,1,2,"full"
1,"basic",0.5,"gpt-oss-120b","conscientiousness","tmfg",0.844376282772953,0.933197466930305,61,29,25,5,7,4,"full"
1,"basic",0.5,"gpt-oss-120b","extraversion","glasso",0.897275201856346,1,63,29,34,5,0,1,"full"
1,"basic",0.5,"gpt-oss-120b","extraversion","tmfg",0.836729488442257,1,63,29,34,5,0,1,"full"
1,"basic",0.5,"gpt-oss-120b","neuroticism","glasso",0.90166203349969,0.93419757096799,65,39,25,4,1,2,"full"
1,"basic",0.5,"gpt-oss-120b","neuroticism","tmfg",0.935967732398225,1,65,28,25,4,12,2,"full"
1,"basic",0.5,"gpt-oss-120b","openness","glasso",0.777250202206869,1,63,17,41,5,5,2,"sparse"
1,"basic",0.5,"gpt-oss-120b","openness","tmfg",0.878073517692779,1,63,18,41,5,4,2,"full"
1,"basic",0.5,"gpt-oss-20b","agreeableness","glasso",0.784525592092528,0.915514424394685,61,26,27,4,8,4,"sparse"
1,"basic",0.5,"gpt-oss-20b","agreeableness","tmfg",0.804892998589743,0.897688056365336,61,29,27,4,5,3,"full"
1,"basic",0.5,"gpt-oss-20b","conscientiousness","glasso",0.806443489658223,0.685751610863454,65,21,35,3,9,2,"full"
1,"basic",0.5,"gpt-oss-20b","conscientiousness","tmfg",0.757949222759705,0.68310083664311,65,11,35,3,19,6,"full"
1,"basic",0.5,"gpt-oss-20b","extraversion","glasso",0.786937290047469,0.91929598056949,62,25,37,4,0,1,"full"
1,"basic",0.5,"gpt-oss-20b","extraversion","tmfg",0.738312802477936,1,62,14,37,4,11,4,"sparse"
1,"basic",0.5,"gpt-oss-20b","neuroticism","glasso",0.778570717217319,0.867951552866222,62,37,23,4,2,2,"full"
1,"basic",0.5,"gpt-oss-20b","neuroticism","tmfg",0.621382313900553,0.743415439112825,62,35,23,4,4,2,"full"
1,"basic",0.5,"gpt-oss-20b","openness","glasso",0.793570087778153,1,60,35,25,5,0,1,"full"
1,"basic",0.5,"gpt-oss-20b","openness","tmfg",0.903867058803656,1,60,26,25,5,9,2,"full"
1,"basic",1,"gpt-4o","agreeableness","glasso",0.943705935405434,1,64,40,24,4,0,1,"sparse"
1,"basic",1,"gpt-4o","agreeableness","tmfg",1,1,64,38,24,4,2,2,"sparse"
1,"basic",1,"gpt-4o","conscientiousness","glasso",0.773339827221963,0.788350817597427,64,32,28,5,4,2,"sparse"
1,"basic",1,"gpt-4o","conscientiousness","tmfg",0.674590170287166,1,64,16,28,5,20,3,"full"
1,"basic",1,"gpt-4o","extraversion","glasso",0.859640066476722,0.931753282503291,63,36,26,5,1,2,"full"
1,"basic",1,"gpt-4o","extraversion","tmfg",0.914275875110623,0.926361150459642,63,31,26,5,6,3,"full"
1,"basic",1,"gpt-4o","neuroticism","glasso",0.865046058157209,0.856494740391043,63,32,30,4,1,2,"full"
1,"basic",1,"gpt-4o","neuroticism","tmfg",0.794130306070723,0.843340149559911,63,24,30,4,9,3,"sparse"
1,"basic",1,"gpt-4o","openness","glasso",0.846738337587174,0.916946838071488,64,41,23,6,0,1,"full"
1,"basic",1,"gpt-4o","openness","tmfg",0.95747130228927,1,64,24,23,6,17,3,"full"
1,"basic",1,"gpt-5.1","agreeableness","glasso",0.85143679862426,1,62,23,30,3,9,2,"full"
1,"basic",1,"gpt-5.1","agreeableness","tmfg",0.939113699099853,0.906452126012197,62,30,30,3,2,3,"full"
1,"basic",1,"gpt-5.1","conscientiousness","glasso",0.760765354048915,0.933102754029329,62,28,29,4,5,2,"full"
1,"basic",1,"gpt-5.1","conscientiousness","tmfg",0.655911817775815,1,62,13,29,4,20,3,"sparse"
1,"basic",1,"gpt-5.1","extraversion","glasso",0.853694088020545,1,65,20,43,4,2,2,"full"
1,"basic",1,"gpt-5.1","extraversion","tmfg",0.702310613040654,1,65,19,43,4,3,3,"full"
1,"basic",1,"gpt-5.1","neuroticism","glasso",0.80236979701554,1,67,25,37,5,5,2,"sparse"
1,"basic",1,"gpt-5.1","neuroticism","tmfg",0.80236979701554,1,67,16,37,5,14,2,"sparse"
1,"basic",1,"gpt-5.1","openness","glasso",0.889326625791943,1,60,22,35,6,3,2,"full"
1,"basic",1,"gpt-5.1","openness","tmfg",1,1,60,22,35,6,3,2,"full"
1,"basic",1,"gpt-oss-120b","agreeableness","glasso",0.78729133598456,1,62,19,40,4,3,2,"full"
1,"basic",1,"gpt-oss-120b","agreeableness","tmfg",0.837395806840044,1,62,18,40,4,4,2,"full"
1,"basic",1,"gpt-oss-120b","conscientiousness","glasso",0.815905322288585,0.898248986818093,63,28,34,4,1,2,"full"
1,"basic",1,"gpt-oss-120b","conscientiousness","tmfg",0.814770279148816,0.94951020377156,63,26,34,4,3,2,"full"
1,"basic",1,"gpt-oss-120b","extraversion","glasso",0.941309815851135,0.950295416562939,60,37,20,4,3,2,"sparse"
1,"basic",1,"gpt-oss-120b","extraversion","tmfg",1,1,60,39,20,4,1,2,"full"
1,"basic",1,"gpt-oss-120b","neuroticism","glasso",0.911072514535189,1,61,35,26,3,0,1,"full"
1,"basic",1,"gpt-oss-120b","neuroticism","tmfg",0.956129781698951,1,61,33,26,3,2,2,"full"
1,"basic",1,"gpt-oss-120b","openness","glasso",0.842744938065891,1,66,33,33,4,0,1,"full"
1,"basic",1,"gpt-oss-120b","openness","tmfg",0.8028022458266,1,66,30,33,4,3,2,"full"
1,"basic",1,"gpt-oss-20b","agreeableness","glasso",0.724559075391703,0.772205581377535,62,44,14,3,4,2,"sparse"
1,"basic",1,"gpt-oss-20b","agreeableness","tmfg",0.899320351182459,1,62,37,14,3,11,3,"full"
1,"basic",1,"gpt-oss-20b","conscientiousness","glasso",0.774804550915887,0.843955110642326,62,35,24,4,3,2,"sparse"
1,"basic",1,"gpt-oss-20b","conscientiousness","tmfg",0.854249838619004,0.877983560153092,62,30,24,4,8,2,"full"
1,"basic",1,"gpt-oss-20b","extraversion","glasso",0.95747130228927,0.948954789965519,64,51,12,4,1,2,"full"
1,"basic",1,"gpt-oss-20b","extraversion","tmfg",0.819421167456256,0.939689025196947,64,41,12,4,11,2,"full"
1,"basic",1,"gpt-oss-20b","neuroticism","glasso",0.844858600315718,0.947142130687732,64,45,10,3,9,2,"full"
1,"basic",1,"gpt-oss-20b","neuroticism","tmfg",0.654728944656791,0.940443726737703,64,37,10,3,17,3,"full"
1,"basic",1,"gpt-oss-20b","openness","glasso",0.930543758557818,1,64,53,4,2,7,2,"full"
1,"basic",1,"gpt-oss-20b","openness","tmfg",0.95747130228927,1,64,43,4,2,17,3,"full"
1,"basic",1.5,"gpt-4o","agreeableness","glasso",1,1,60,54,6,3,0,1,"full"
1,"basic",1.5,"gpt-4o","agreeableness","tmfg",0.925787124315693,1,60,51,6,3,3,2,"full"
1,"basic",1.5,"gpt-4o","conscientiousness","glasso",0.897418947243289,0.89083113255492,61,56,5,2,0,1,"full"
1,"basic",1.5,"gpt-4o","conscientiousness","tmfg",0.740900474162879,0.945021337163048,61,45,5,2,11,3,"full"
1,"basic",1.5,"gpt-4o","extraversion","glasso",0.95747130228927,1,64,51,12,3,1,2,"full"
1,"basic",1.5,"gpt-4o","extraversion","tmfg",0.793418486550066,1,64,46,12,3,6,3,"full"
1,"basic",1.5,"gpt-4o","neuroticism","glasso",0.896626799530767,1,63,53,9,3,1,2,"full"
1,"basic",1.5,"gpt-4o","neuroticism","tmfg",0.956784087869938,1,63,43,9,3,11,2,"full"
1,"basic",1.5,"gpt-4o","openness","glasso",0.681147830080873,0.902111793022984,62,43,5,3,14,2,"full"
1,"basic",1.5,"gpt-4o","openness","tmfg",0.6875607635219,0.937856681348019,62,41,5,3,16,3,"full"
1,"basic",1.5,"gpt-5.1","agreeableness","glasso",0.937405863268863,1,60,35,25,4,0,1,"full"
1,"basic",1.5,"gpt-5.1","agreeableness","tmfg",1,1,60,35,25,4,0,1,"full"
